ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13749478,JJ150273,02/15/2025 01:00:00 AM,036XX W 30TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1032,010,22,30,14,1152384,1884475,2025,02/23/2025 03:41:06 PM,41.838860939,-87.716323332,POINT (-87.716323332 41.838860939)
13750061,JJ150210,02/15/2025 01:00:00 AM,040XX N MARINE DR,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,1915,019,46,3,08A,1171399,1926894,2025,02/23/2025 03:41:06 PM,41.954865195,-87.645299318,POINT (-87.645299318 41.954865195)
13749338,JJ150119,02/15/2025 01:00:00 AM,027XX S STATE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,0133,001,3,35,08A,1176730,1886544,2025,02/23/2025 03:41:06 PM,41.844023772,-87.626923253,POINT (-87.626923253 41.844023772)
13749426,JJ150250,02/15/2025 01:00:00 AM,049XX W ADAMS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1533,015,28,25,14,1143679,1898882,2025,02/23/2025 03:41:06 PM,41.878562813,-87.747906394,POINT (-87.747906394 41.878562813)
13749470,JJ150325,02/15/2025 01:00:00 AM,032XX S EMERALD AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,VEHICLE NON-COMMERCIAL,false,false,0915,009,11,60,06,1171830,1883312,2025,02/23/2025 03:41:06 PM,41.835264073,-87.645000254,POINT (-87.645000254 41.835264073)
13749479,JJ150283,02/15/2025 01:00:00 AM,036XX W 30TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1032,010,22,30,14,1152379,1884474,2025,02/23/2025 03:41:06 PM,41.838858294,-87.716341706,POINT (-87.716341706 41.838858294)
13749463,JJ150317,02/15/2025 01:00:00 AM,093XX S LOOMIS ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,2222,022,21,73,11,1168638,1842721,2025,02/23/2025 03:41:06 PM,41.723946987,-87.657882556,POINT (-87.657882556 41.723946987)
13749305,JJ150133,02/15/2025 12:57:00 AM,049XX S WOLCOTT AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,true,true,0931,009,15,61,26,1164522,1871856,2025,02/23/2025 03:41:06 PM,41.8039851,-87.672138992,POINT (-87.672138992 41.8039851)
13749360,JJ150180,02/15/2025 12:54:00 AM,014XX W LAKE ST,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,STREET,false,false,1224,012,27,28,11,1166633,1901539,2025,02/23/2025 03:41:06 PM,41.885393253,-87.663547848,POINT (-87.663547848 41.885393253)
13749308,JJ150110,02/15/2025 12:52:00 AM,017XX W ESTES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2424,024,49,1,08B,1163183,1947434,2025,02/23/2025 03:41:06 PM,42.011404705,-87.674922185,POINT (-87.674922185 42.011404705)
13749332,JJ150112,02/15/2025 12:50:00 AM,001XX W KINZIE ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,BAR OR TAVERN,false,false,1831,018,42,8,24,1174923,1902985,2025,02/23/2025 03:41:06 PM,41.889179572,-87.633062369,POINT (-87.633062369 41.889179572)
13749291,JJ150111,02/15/2025 12:48:00 AM,050XX N WINTHROP AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,2033,020,48,3,08A,1167958,1933798,2025,02/23/2025 03:41:06 PM,41.973885119,-87.657748827,POINT (-87.657748827 41.973885119)
13749304,JJ150116,02/15/2025 12:43:00 AM,0000X E ROOSEVELT RD,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,CTA STATION,true,false,0123,001,4,32,24,1176818,1895074,2025,02/23/2025 03:41:06 PM,41.867428687,-87.626342565,POINT (-87.626342565 41.867428687)
13749303,JJ150109,02/15/2025 12:42:00 AM,054XX S CARPENTER ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0934,009,16,61,08B,1170237,1868766,2025,02/23/2025 03:41:06 PM,41.795383247,-87.651269079,POINT (-87.651269079 41.795383247)
13749321,JJ150107,02/15/2025 12:30:00 AM,028XX E 80TH ST,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,false,false,0422,004,7,46,07,1196666,1852476,2025,02/23/2025 03:41:06 PM,41.750066154,-87.554895616,POINT (-87.554895616 41.750066154)
13750487,JJ151588,02/15/2025 12:30:00 AM,001XX W HUBBARD ST,0810,THEFT,OVER $500,BAR OR TAVERN,false,false,1831,018,42,8,06,1175290,1903292,2025,02/23/2025 03:41:06 PM,41.890013771,-87.631705393,POINT (-87.631705393 41.890013771)
13764288,JJ168049,02/15/2025 12:30:00 AM,051XX W BLOOMINGDALE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2533,025,37,25,07,,,2025,03/04/2025 03:41:22 PM,,,
13749419,JJ150235,02/15/2025 12:30:00 AM,033XX W 83RD PL,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,RESIDENCE,false,false,0834,008,18,70,07,1155487,1849026,2025,02/23/2025 03:41:06 PM,41.741522053,-87.705886094,POINT (-87.705886094 41.741522053)
